date,session_open,vwap_t1,vwap_t2,or_high,or_low,brk_time,day_low,max_decline,EmaHL,reach_ratio,L2,L3,L4,L5
2024-06-03,21469.0,21420.25313417319,21460.46474336531,21563.0,21468.0,09:13:00,21424.0,158.0,219.2979683254803,0.7204809110018642,1.0,1.0,0.0,0.0
2024-06-11,21920.0,21847.922530063493,21877.096670677896,21940.0,21839.0,09:07:00,21783.0,187.0,218.5429532895375,0.8556670310584313,1.0,1.0,0.0,0.0
2024-06-18,22726.0,22482.58412952347,22380.074741260858,22760.0,22710.0,09:00:00,22666.0,122.0,218.21281307618753,0.5590872427706824,1.0,0.0,0.0,0.0
2024-06-20,23153.0,23133.231064635824,22747.317342342343,23171.0,23130.0,08:58:00,23106.0,69.0,224.63679256350045,0.3071625053607149,0.0,0.0,0.0,0.0
2024-06-28,22908.0,22724.007716289016,22888.640340175745,22945.0,22840.0,08:59:00,22793.0,163.0,258.2163230766158,0.6312536638190607,1.0,0.0,0.0,0.0
2024-07-03,23073.0,22845.701099592177,23052.734808414905,23117.0,23046.0,09:11:00,22981.0,136.0,262.43491631384387,0.5182237253725746,1.0,0.0,0.0,0.0
2024-08-01,22721.0,22185.543733912997,22030.26657245836,22728.0,22680.0,09:00:00,22460.0,268.0,346.87695054342475,0.7726082680908765,1.0,1.0,0.0,0.0
2024-08-12,21650.0,21417.208014816562,20842.336121327327,21779.0,21625.0,09:02:00,21600.0,267.0,557.563338813818,0.4788693614039012,0.0,0.0,0.0,0.0
2024-08-13,21848.0,21744.364580283338,21417.208014816562,21898.0,21810.0,09:05:00,21662.0,236.0,532.5573065458353,0.4431447979386389,0.0,0.0,0.0,0.0
2024-08-16,22324.0,21982.00165089305,22021.386083333335,22385.0,22294.0,09:05:00,22277.0,162.0,460.846405960251,0.35152709862724385,0.0,0.0,0.0,0.0
2024-08-19,22400.0,22358.533437622213,21982.00165089305,22458.0,22390.0,09:01:00,22320.0,190.0,433.1467482497509,0.43865041297839014,0.0,0.0,0.0,0.0
2024-08-20,22555.0,22402.667538927897,22358.533437622213,22565.0,22528.0,09:01:00,22389.0,185.0,411.037534130727,0.450080551381379,0.0,0.0,0.0,0.0
2024-08-30,22320.0,22087.326059082025,22216.26013009101,22335.0,22280.0,08:59:00,22213.0,122.0,340.7757941824104,0.3580066486022064,0.0,0.0,0.0,0.0
2024-09-11,21100.0,21094.614032704667,20934.821307144135,21110.0,21048.0,09:01:00,20950.0,180.0,366.5632705082519,0.4910475611766126,0.0,0.0,0.0,0.0
2024-09-12,21597.0,21044.376693583352,21094.614032704667,21650.0,21561.0,09:00:00,21461.0,189.0,348.7953399836565,0.5418650375571415,1.0,0.0,0.0,0.0
2024-09-16,21807.0,21738.562535175468,21634.009409611415,21852.0,21802.0,09:09:00,21735.0,117.0,329.77124202743767,0.35479139806334403,0.0,0.0,0.0,0.0
2024-09-25,22835.0,22316.520564835366,22321.899605028295,22838.0,22790.0,08:58:00,22739.0,113.0,302.43571726468815,0.37363311788039816,0.0,0.0,0.0,0.0
2024-09-26,23034.0,22797.582342767295,22316.520564835366,23056.0,23010.0,09:12:00,22892.0,186.0,285.1561251442417,0.6522742582012393,1.0,0.0,0.0,0.0
2024-09-27,23190.0,22981.56404415896,22797.582342767295,23195.0,23130.0,08:58:00,22878.0,317.0,275.71268465431393,1.1497476091731207,1.0,1.0,1.0,0.0
2024-10-14,22987.0,22943.148288737742,22763.449569728225,23017.0,22963.0,08:58:00,22818.0,199.0,272.7563808981452,0.7295887976835714,1.0,1.0,0.0,0.0
2024-10-18,23820.0,23140.900300998048,23093.80933917381,23840.0,23771.0,08:59:00,23527.0,313.0,276.401593549124,1.1324102584971945,1.0,1.0,1.0,0.0
2024-10-21,23810.0,23695.133612384558,23140.900300998048,23836.0,23765.0,08:59:00,23566.0,270.0,279.8871560682551,0.9646744916517572,1.0,1.0,0.0,0.0
2024-10-28,23650.0,23367.15160782943,23328.646421419362,23657.0,23612.0,08:59:00,23216.0,441.0,265.6554490825399,1.6600450001045528,1.0,1.0,1.0,1.0
2024-11-08,23772.0,23408.970633221168,23255.346656403162,23794.0,23722.0,09:00:00,23528.0,266.0,359.8810668262655,0.7391330762293559,1.0,1.0,0.0,0.0
