trade_date,list_month,total_value,top1_value,top1_share,top5_value,top5_share,top10_value,top10_share,top20_value,top20_share,top1_ma20,top1_std20,top1_dev_pct,top1_zscore,top5_ma20,top5_std20,top5_dev_pct,top5_zscore,top10_ma20,top10_std20,top10_dev_pct,top10_zscore,top20_ma20,top20_std20,top20_dev_pct,top20_zscore,list_changed,tx_open,tx_close,tx_high,tx_low,tx_dir,tx_range,weekday
2025-11-24,2025-10,717137023149,122824394320,17.127,195123258318,27.2086,232106465635,32.3657,313571071020,43.7254,9.987,3.484,71.4927,2.0494,24.2556,3.3176,12.1743,0.8901,31.9109,3.8519,1.4253,0.1181,44.9747,4.2232,-2.7779,-0.2958,True,26705.0,26615.0,26730.0,26536.0,-0.0033701554016101853,0.007264557199026399,0
2025-11-25,2025-10,465691261733,43841816781,9.4144,105921618077,22.745,144441697481,31.0166,203073840058,43.607,9.9591,3.4864,-5.4692,-0.1562,24.2857,3.3002,-6.344,-0.4669,31.9704,3.8271,-2.9835,-0.2492,45.0284,4.1973,-3.1568,-0.3387,True,27055.0,26933.0,27105.0,26773.0,-0.004509332840510072,0.012271299205322491,1
2025-11-26,2025-10,486840850969,45354786526,9.3161,98565555029,20.2459,134924452076,27.7143,198967400839,40.8691,9.9824,3.4801,-6.6746,-0.1915,24.1101,3.421,-16.0273,-1.1296,31.8738,3.9123,-13.0499,-1.0632,44.8284,4.2993,-8.8321,-0.9209,True,27188.0,27329.0,27384.0,27133.0,0.0051861115197881415,0.009232014123878182,2
2025-11-27,2025-10,476008406070,34888318204,7.3293,84893116707,17.8344,116822072088,24.542,187155647718,39.3177,9.9651,3.493,-26.4502,-0.7546,23.9104,3.6688,-25.4116,-1.6561,31.615,4.2214,-22.3724,-1.6755,44.5132,4.466,-11.6717,-1.1633,True,27518.0,27583.0,27649.0,27461.0,0.0023620902681880953,0.006831891852605567,3
2025-11-28,2025-10,460957646432,37773913469,8.1947,85027102534,18.4458,117336900474,25.455,187327189142,40.6387,9.9051,3.5136,-17.268,-0.4868,23.7766,3.8214,-22.4203,-1.395,31.5515,4.3075,-19.3223,-1.4153,44.4166,4.5306,-8.5057,-0.8339,True,27590.0,27744.0,27854.0,27558.0,0.005581732511779631,0.010728524827836173,4
2025-12-01,2025-11,457266831350,47998505254,10.4968,120709120230,26.398,155411877644,33.9871,216539626788,47.3552,10.0006,3.5018,4.9614,0.1417,23.8993,3.8662,10.4551,0.6463,31.65,4.3411,7.3842,0.5384,44.4596,4.5554,6.5128,0.6356,True,27650.0,27404.0,27674.0,27401.0,-0.008896925858951176,0.009873417721518988,0
2025-12-02,2025-11,461789295627,39916596995,8.6439,106320984161,23.0237,144266780995,31.2408,225613812667,48.8564,9.9531,3.514,-13.1533,-0.3726,23.8385,3.8702,-3.4181,-0.2105,31.713,4.3248,-1.4889,-0.1092,44.7074,4.657,9.2804,0.8909,True,27674.0,27561.0,27789.0,27528.0,-0.00408325504083255,0.009431235094312351,1
2025-12-03,2025-11,433225726635,36775822053,8.4888,106461337029,24.5741,134637895367,31.078,208837654217,48.2053,9.54,3.1384,-11.0186,-0.3349,23.3882,3.1303,5.0704,0.3788,31.2299,3.7669,-0.4862,-0.0403,44.4024,4.1695,8.5647,0.9121,True,27808.0,27758.0,27888.0,27690.0,-0.0017980437284234752,0.007120253164556962,2
2025-12-04,2025-11,373616857221,31600541870,8.458,74021551589,19.8122,96326852847,25.7823,158080767224,42.3109,9.5048,3.1468,-11.0138,-0.3327,23.1307,3.2049,-14.3468,-1.0354,30.9561,3.9588,-16.7133,-1.3069,44.1863,4.1598,-4.2442,-0.4508,True,27841.0,27799.0,27880.0,27670.0,-0.0015085665026399913,0.007542832513199957,3
2025-12-05,2025-11,434367090536,32677962256,7.5231,83193761683,19.1529,114875950368,26.4467,186086503608,42.8408,9.4989,3.1507,-20.8002,-0.6271,23.0012,3.3144,-16.7309,-1.1611,30.9265,3.9917,-14.4854,-1.1223,44.2667,4.115,-3.2212,-0.3465,True,27792.0,28016.0,28019.0,27763.0,0.008059873344847437,0.009211283822682787,4
2025-12-08,2025-11,405516569478,40634878504,10.0205,69907553363,17.2391,97642423689,24.0785,159739742720,39.3917,9.5859,3.1392,4.534,0.1384,22.808,3.5361,-24.4164,-1.5749,30.6903,4.2551,-21.5437,-1.5539,44.106,4.244,-10.6886,-1.1108,True,28054.0,28286.0,28298.0,28019.0,0.008269765452341912,0.009945105867256006,0
2025-12-09,2025-11,499960743266,40931363559,8.1869,73360290517,14.6732,108698671908,21.7414,212975844115,42.5985,9.6623,3.0823,-15.2698,-0.4787,22.4957,3.9619,-34.7732,-1.9744,30.2737,4.703,-28.1839,-1.8142,44.0834,4.2511,-3.3683,-0.3493,True,28350.0,28220.0,28360.0,28204.0,-0.004585537918871252,0.005502645502645503,1
2025-12-10,2025-11,480773037840,39493603134,8.2146,71618682944,14.8966,116416870925,24.2145,193052133423,40.1545,9.7209,3.0407,-15.4956,-0.4954,22.264,4.268,-33.0912,-1.7262,30.0584,4.8826,-19.4419,-1.1969,44.2077,4.0867,-9.1686,-0.9918,True,28279.0,28398.0,28434.0,28252.0,0.004208069592276955,0.00643587114112946,2
2025-12-11,2025-11,498860190274,47234941277,9.4686,89441663870,17.9292,130378735459,26.1353,199478796589,39.9869,9.9215,2.8723,-4.5649,-0.1577,21.9896,4.3653,-18.4651,-0.9302,29.7827,4.9433,-12.2468,-0.7378,44.217,4.0765,-9.5666,-1.0377,True,28600.0,28110.0,28602.0,28059.0,-0.017132867132867134,0.018986013986013985,3
2025-12-12,2025-11,457476887153,35489107425,7.7576,63416536229,13.8622,97345224775,21.2787,177610914913,38.824,9.8878,2.8946,-21.5436,-0.7359,21.4317,4.6606,-35.319,-1.6242,29.2625,5.2695,-27.2834,-1.5151,43.9862,4.2498,-11.7359,-1.2147,True,28266.0,28292.0,28342.0,28157.0,0.0009198330149295974,0.006544965683152905,4
2025-12-15,2025-11,413135356413,40860472555,9.8903,74397112089,18.0079,99625866253,24.1146,169075782339,40.925,9.8837,2.8945,0.0667,0.0023,21.1262,4.6755,-14.7605,-0.667,28.9466,5.3838,-16.6927,-0.8975,43.9865,4.2495,-6.9601,-0.7204,True,27834.0,27907.0,27984.0,27755.0,0.002622691672055759,0.008227347847955738,0
2025-12-16,2025-11,493465785059,52683827934,10.6763,94011860302,19.0513,127079503265,25.7524,201371582247,40.8076,9.832,2.8693,8.5871,0.2942,20.8625,4.6341,-8.6818,-0.3908,28.4856,5.2333,-9.595,-0.5223,43.6083,4.1746,-6.4224,-0.6709,True,27630.0,27624.0,27689.0,27411.0,-0.00021715526601520088,0.010061527325370974,1
2025-12-17,2025-11,490439076971,47488282612,9.6828,89447494077,18.2382,111716292147,22.7788,184697841833,37.6597,9.6869,2.7951,-0.0421,-0.0015,20.4825,4.5147,-10.9572,-0.4971,27.7975,5.0187,-18.0544,-1.0,43.0349,4.1642,-12.4903,-1.2908,True,27714.0,27692.0,27858.0,27591.0,-0.0007938226167280075,0.009634119939380818,2
2025-12-18,2025-11,423346210062,47179906765,11.1445,78819946778,18.6183,98986656184,23.382,178783594044,42.2311,9.8764,2.7568,12.8394,0.46,20.1086,4.3312,-7.4113,-0.3441,27.07,4.5002,-13.6239,-0.8195,42.6051,3.7395,-0.8778,-0.1,True,27500.0,27591.0,27679.0,27457.0,0.003309090909090909,0.008072727272727273,3
2025-12-19,2025-11,537981494837,61256957568,11.3864,101488451232,18.8647,139034605652,25.8438,227652230508,42.316,9.571,2.1372,18.9673,0.8494,19.5411,3.6229,-3.4612,-0.1867,26.4474,3.6457,-2.2824,-0.1656,42.1311,3.0506,0.4389,0.0606,True,27800.0,27894.0,27983.0,27795.0,0.003381294964028777,0.006762589928057554,4
2025-12-22,2025-11,468581249271,34974497115,7.4639,94315636288,20.1279,136126823773,29.0508,197754258265,42.2028,9.0879,1.2453,-17.8697,-1.3041,19.187,3.1491,4.9037,0.2988,26.2817,3.4316,10.5363,0.807,42.0549,3.0276,0.3516,0.0488,True,28256.0,28341.0,28368.0,28170.0,0.003008210645526614,0.007007361268403171,0
2025-12-23,2025-11,399731159982,33151333901,8.2934,66720809817,16.6914,103186341053,25.8139,143133000035,35.8073,9.0318,1.255,-8.1758,-0.5884,18.8844,3.0793,-11.6125,-0.7122,26.0215,3.2459,-0.798,-0.064,41.665,3.3067,-14.059,-1.7715,True,28392.0,28413.0,28455.0,28359.0,0.0007396449704142012,0.0033812341504649195,1
