trade_date,exit_date,is_lc_hv,entry_adj,exit_adj,pnl_pts,ret_pct
2025-04-22,2025-06-05,False,19176.0,21932.0,2750.0,14.34084272006675
2025-04-23,2025-06-06,False,19933.0,21957.0,2018.0,10.123915115637386
2025-04-24,2025-06-09,False,19845.0,22106.0,2255.0,11.363063744016126
2025-04-25,2025-06-10,False,20252.0,22492.0,2234.0,11.031009283033773
2025-04-28,2025-06-11,False,20344.0,22730.0,2380.0,11.698780967361385
2025-04-29,2025-06-12,False,20533.0,22631.0,2092.0,10.188477085666975
2025-04-30,2025-06-13,False,20528.0,22319.0,1785.0,8.69544037412315
2025-05-02,2025-06-16,False,21056.0,22411.0,1349.0,6.406724924012158
2025-05-05,2025-06-17,False,20783.0,22538.0,1749.0,8.415531925131118
2025-05-06,2025-06-18,False,20716.0,22304.0,1582.0,7.636609384050976
2025-05-07,2025-06-19,False,20760.0,22078.0,1312.0,6.319845857418112
2025-05-08,2025-06-20,False,20954.0,22027.0,1067.0,5.09210651904171
2025-05-09,2025-06-23,False,21227.0,21847.0,614.0,2.892542516606209
2025-05-12,2025-06-24,False,21445.0,22333.0,882.0,4.112846817439963
2025-05-13,2025-06-25,False,21739.0,22533.0,788.0,3.6248217489304935
2025-05-14,2025-06-26,False,22147.0,22491.0,338.0,1.526166072154242
2025-05-15,2025-06-27,False,22073.0,22495.0,416.0,1.8846554614234585
2025-05-16,2025-06-30,True,22200.0,22519.0,313.0,1.40990990990991
2025-05-19,2025-07-01,False,21917.0,22727.0,804.0,3.668385271706894
2025-05-20,2025-07-02,True,21918.0,22770.0,846.0,3.859841226389269
2025-05-21,2025-07-03,False,22051.0,23049.0,992.0,4.498662192190831
2025-05-22,2025-07-04,True,21882.0,22809.0,921.0,4.208938853852481
2025-05-23,2025-07-07,False,21849.0,22710.0,855.0,3.913222573115474
2025-05-26,2025-07-08,False,21764.0,22625.0,855.0,3.928505789376953
2025-05-27,2025-07-09,False,21612.0,22808.0,1190.0,5.506200259115306
2025-05-28,2025-07-10,False,21631.0,22985.0,1348.0,6.231796958069437
2025-05-29,2025-07-11,False,21699.0,23138.0,1433.0,6.603990967325683
2025-06-02,2025-07-14,False,21245.0,22925.0,1674.0,7.879501059072723
2025-06-03,2025-07-15,False,21350.0,23184.0,1828.0,8.562060889929743
2025-06-04,2025-07-16,False,21861.0,23290.0,1423.0,6.509308814784319
2025-06-05,2025-07-17,False,21932.0,23518.0,1580.0,7.20408535473281
2025-06-06,2025-07-18,False,21957.0,23632.0,1669.0,7.601220567472788
2025-06-09,2025-07-21,True,22106.0,23598.0,1486.0,6.7221568804849365
2025-06-10,2025-07-22,False,22492.0,23360.0,862.0,3.832473768451005
2025-06-11,2025-07-23,True,22730.0,23556.0,820.0,3.607567091948966
2025-06-12,2025-07-24,True,22631.0,23680.0,1043.0,4.608722548716362
2025-06-13,2025-07-25,False,22319.0,23608.0,1283.0,5.748465433039115
2025-06-16,2025-07-28,True,22411.0,23762.0,1345.0,6.0015171121324355
2025-06-17,2025-07-29,False,22538.0,23533.0,989.0,4.388144467122194
2025-06-18,2025-07-30,False,22304.0,23731.0,1421.0,6.371054519368722
2025-06-19,2025-07-31,False,22078.0,23959.0,1875.0,8.492617084880877
2025-06-20,2025-08-01,False,22027.0,23714.0,1681.0,7.63154310618786
2025-06-23,2025-08-04,True,21847.0,23630.0,1777.0,8.133839886483269
2025-06-24,2025-08-05,False,22333.0,23945.0,1606.0,7.191152106747863
2025-06-25,2025-08-06,True,22533.0,23795.0,1256.0,5.574046953357299
2025-06-26,2025-08-07,False,22491.0,24367.0,1870.0,8.314436885865458
2025-06-27,2025-08-08,False,22495.0,24319.0,1818.0,8.08179595465659
2025-06-30,2025-08-11,False,22519.0,24532.0,2007.0,8.912473910919667
2025-07-01,2025-08-12,False,22727.0,24505.0,1772.0,7.796893562722753
2025-07-02,2025-08-13,False,22770.0,24717.0,1941.0,8.52437417654809
2025-07-03,2025-08-14,False,23049.0,24620.0,1565.0,6.789882424400191
2025-07-04,2025-08-15,False,22809.0,24682.0,1867.0,8.185365425928362
2025-07-07,2025-08-18,False,22710.0,24796.0,2080.0,9.158960810215765
2025-07-08,2025-08-19,False,22625.0,24712.0,2081.0,9.197790055248618
