trade_date,nh,nl,nb,night_range,sma20,ema20,norm_sma,norm_ema,norm_sma_exp_med,norm_ema_exp_med
2023-12-08,17408.0,17264.0,840,144.0,121.45,120.00145550629638,1.1856731165088514,1.1999854451135756,0.9152389540126239,0.9346778828805868
2023-12-11,17426.0,17336.0,840,90.0,111.05,117.14417402950625,0.8104457451598379,0.7682840460963156,0.9165668454273646,0.9348256151979549
2023-12-12,17520.0,17404.0,840,116.0,112.05,117.03520507431517,1.035252119589469,0.9911547548991106,0.9152389540126239,0.9346778828805868
2023-12-13,17504.0,17397.0,840,107.0,105.95,116.07947125771372,1.0099103350637093,0.921782282781458,0.9165668454273646,0.9348256151979549
2023-12-14,17586.0,17404.0,840,182.0,109.85,122.35761685221718,1.6568047337278107,1.4874431578691054,0.9178947368421052,0.9346778828805868
2023-12-15,17744.0,17642.0,840,102.0,109.5,120.41879619962506,0.9315068493150684,0.8470438438108019,0.9179247762688528,0.9348256151979549
2023-12-18,17708.0,17636.0,840,72.0,109.95,115.80748227585124,0.6548431105047748,0.6217214862550707,0.9179548156956004,0.9346778828805868
2023-12-19,17649.0,17567.0,840,82.0,108.45,112.58772205910351,0.756108805901337,0.7283209794133118,0.9179247762688528,0.9345301505632186
2023-12-20,17608.0,17542.0,840,66.0,106.1,108.1507961487127,0.6220546654099907,0.6102590304489921,0.9178947368421052,0.9343248341641102
2023-12-21,17678.0,17376.0,840,302.0,114.95,126.61262508693054,2.6272292301000433,2.3852281697236024,0.9165668454273646,0.9341195177650017
2023-12-22,17612.0,17504.0,840,108.0,115.8,124.83999412627048,0.9326424870466321,0.8651073780952158,0.9178947368421052,0.9343248341641102
2023-12-25,17628.0,17532.0,840,96.0,118.45,122.09332801900663,0.8104685521317011,0.7862837515990668,0.9179247762688528,0.9341195177650017
2023-12-26,17659.0,17615.0,840,44.0,116.7,114.65586820767267,0.3770351328191945,0.38375706963645456,0.9178947368421052,0.9334811971391399
2023-12-27,17760.0,17707.0,840,53.0,116.1,108.7838807593229,0.45650301464254955,0.48720453462456426,0.9165668454273646,0.9328428765132781
2023-12-28,17881.0,17812.0,840,69.0,113.8,104.99493973462548,0.6063268892794377,0.6571745283572463,0.9152389540126239,0.932728052548764
2023-12-29,17871.0,17827.0,840,44.0,109.9,99.18589785513734,0.4003639672429481,0.4436114503320092,0.9147316039221496,0.93261322858425
2024-01-02,17878.0,17766.0,840,112.0,108.45,100.40628853560045,1.03273397879207,1.1154679814729815,0.9142242538316753,0.9308042390739466
2024-01-03,17817.0,17652.0,840,165.0,108.7,106.55807057982898,1.5179392824287028,1.548451460336725,0.9147316039221496,0.93261322858425
2024-01-04,17585.0,17479.0,840,106.0,109.7,106.50492100079765,0.9662716499544212,0.995259176796217,0.9152389540126239,0.932728052548764
2024-01-05,17609.0,17539.0,840,70.0,106.5,103.02826185786454,0.6572769953051644,0.6794252250568918,0.9165668454273646,0.9328428765132781
2024-01-08,17605.0,17452.0,840,153.0,106.95,107.78747501425839,1.4305750350631137,1.419459913869963,0.9152389540126239,0.932728052548764
2024-01-09,17774.0,17535.0,840,239.0,114.4,120.2839059652814,2.089160839160839,1.9869657381178214,0.9165668454273646,0.9328428765132781
2024-01-10,17555.0,17431.0,840,124.0,114.8,120.63781968287365,1.0801393728222997,1.027870035499354,0.9178947368421052,0.9334811971391399
2024-01-11,17535.0,17441.0,840,94.0,114.15,118.10088447498093,0.8234778799824791,0.7959296868764215,0.9179247762688528,0.9341195177650017
2024-01-12,17595.0,17397.0,840,198.0,114.95,125.71032404879227,1.7224880382775118,1.575049634930141,0.9178947368421052,0.9334811971391399
2024-01-15,17535.0,17411.0,840,124.0,116.05,125.54743604414539,1.068504954760879,0.9876744910696442,0.9179247762688528,0.9341195177650017
