Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,night_norm
1,264926,264940,22387.0,22325.0,,,-62.0,0.0,-0.0027694644213159814,2024-08-19 09:31:00,2024-08-19 09:45:00,0 days 00:14:00,,2024-08-19,0,2024,0.43012720783380615
1,265232,265277,22511.0,22482.0,,,-29.0,0.0,-0.0012882590733419574,2024-08-20 09:36:00,2024-08-20 10:21:00,0 days 00:45:00,,2024-08-20,1,2024,0.6300408008349938
-1,265540,265654,22321.0,22241.0,,,80.0,0.0,0.0035840688141212107,2024-08-21 09:43:00,2024-08-21 11:37:00,0 days 01:54:00,,2024-08-21,2,2024,0.46253822629969416
1,267620,267735,22260.0,22276.0,,,16.0,0.0,0.0007187780772686114,2024-08-30 09:16:00,2024-08-30 11:11:00,0 days 01:55:00,,2024-08-30,4,2024,0.5363696245412628
1,267923,267958,22369.0,22287.0,,,-82.0,0.0,-0.0036657874737360263,2024-09-02 09:18:00,2024-09-02 09:53:00,0 days 00:35:00,,2024-09-02,0,2024,0.5806388969802893
-1,268544,268597,21293.0,21318.0,,,-25.0,0.0,-0.0011740947729301787,2024-09-04 09:37:00,2024-09-04 10:30:00,0 days 00:53:00,,2024-09-04,2,2024,1.776330076004343
1,269171,269178,21330.0,21392.0,,,62.0,0.0,0.0029067041725270304,2024-09-06 10:02:00,2024-09-06 10:09:00,0 days 00:07:00,,2024-09-06,4,2024,0.8237232289950577
-1,269466,269530,20986.0,20967.0,,,19.0,0.0,0.000905365481749687,2024-09-09 09:56:00,2024-09-09 11:00:00,0 days 01:04:00,,2024-09-09,0,2024,2.2793348063728343
1,270026,270071,21025.0,21063.0,,,38.0,0.0,0.0018073721759810368,2024-09-11 09:14:00,2024-09-11 09:59:00,0 days 00:45:00,,2024-09-11,2,2024,0.8727793012996303
1,270678,270702,21706.0,21690.0,,,-16.0,0.0,-0.0007371233760250506,2024-09-13 10:04:00,2024-09-13 10:28:00,0 days 00:24:00,,2024-09-13,4,2024,0.744931636020745
1,271838,271874,22371.0,22300.0,,,-71.0,0.0,-0.003173751732153285,2024-09-20 09:20:00,2024-09-20 09:56:00,0 days 00:36:00,,2024-09-20,4,2024,0.8764044943820225
1,272176,272267,22322.0,22317.0,,,-5.0,0.0,-0.00022399426574681858,2024-09-23 09:57:00,2024-09-23 11:28:00,0 days 01:31:00,,2024-09-23,0,2024,0.46277665995975853
1,272774,272806,22792.0,22755.0,,,-37.0,0.0,-0.0016233766233766378,2024-09-25 09:53:00,2024-09-25 10:25:00,0 days 00:32:00,,2024-09-25,2,2024,1.0431372549019609
1,273055,273117,22970.0,23020.0,,,50.0,0.0,0.00217675228559,2024-09-26 09:33:00,2024-09-26 10:35:00,0 days 01:02:00,,2024-09-26,3,2024,0.746092210692237
1,273352,273380,23146.0,23091.0,,,-55.0,0.0,-0.0023762205132635827,2024-09-27 09:29:00,2024-09-27 09:57:00,0 days 00:28:00,,2024-09-27,4,2024,1.0034825228943636
-1,273955,274025,22403.0,22381.0,,,22.0,0.0,0.000982011337767208,2024-10-01 09:30:00,2024-10-01 10:40:00,0 days 01:10:00,,2024-10-01,1,2024,1.1009880662132683
-1,274240,274308,22462.0,22389.0,,,73.0,0.0,0.0032499332205502274,2024-10-04 09:14:00,2024-10-04 10:22:00,0 days 01:08:00,,2024-10-04,4,2024,1.3674788662357036
1,274848,274889,22540.0,22476.0,,,-64.0,0.0,-0.0028393966282165284,2024-10-08 09:20:00,2024-10-08 10:01:00,0 days 00:41:00,,2024-10-08,1,2024,0.7847186370676305
