strategy,cutoff,method,diff_pct,total_N,hi_PF,lo_PF,thr
Exhaustion,2026-02-16,"SMA, fixed 0.85",-18.88418165817318,120,0.8835830212234707,1.0892857142857142,0.85
Exhaustion,2026-02-16,"SMA, median",-40.2407790747518,120,0.7110694183864915,1.1898907103825136,1.3179905325128316
Exhaustion,2026-02-16,"EMA, median (H066)",-32.81742878355906,123,0.7813863305865245,1.163078930202218,1.2573750175054315
Exhaustion,2026-02-23,"SMA, fixed 0.85",3.050197791402432,121,0.8835830212234707,0.857429718875502,0.85
Exhaustion,2026-02-23,"SMA, median",-26.990394363225178,121,0.7607879924953096,1.0420382165605095,1.312111801242236
Exhaustion,2026-02-23,"EMA, median (H066)",-28.172058562461373,124,0.7813863305865245,1.0878584502745576,1.2542887432039191
Exhaustion,2026-03-02,"SMA, fixed 0.85",15.936022594707438,122,0.9940699126092385,0.857429718875502,0.85
Exhaustion,2026-03-02,"SMA, median",-20.949265793991508,122,0.8771106941838649,1.1095541401273885,1.3179905325128316
Exhaustion,2026-03-02,"EMA, median (H066)",-12.39842874305153,125,0.9529810954920019,1.0878584502745576,1.2573750175054315
Exhaustion,2026-03-09,"SMA, fixed 0.85",2.499728585387033,124,0.8788631346578366,0.857429718875502,0.85
Exhaustion,2026-03-09,"SMA, median",-29.14089054710955,124,0.7531212243254128,1.062843197071385,1.3239943733094575
Exhaustion,2026-03-09,"EMA, median (H066)",-23.06979425860752,127,0.8097199341021417,1.052538370720189,1.2624781346085183
Exhaustion,2026-03-16,"SMA, fixed 0.85",2.821548769328601,125,0.8816225165562914,0.857429718875502,0.85
Exhaustion,2026-03-16,"SMA, median",-28.76196482811014,125,0.7571486105517519,1.062843197071385,1.324119482835488
Exhaustion,2026-03-16,"EMA, median (H066)",-19.766989362098904,128,0.8264324550397323,1.0300404390525708,1.2636625983846632
Exhaustion,2026-03-23,"SMA, fixed 0.85",48.03689687795648,127,0.9420529801324503,0.6363636363636364,0.85
Exhaustion,2026-03-23,"SMA, median",-34.52176373451586,127,0.7366771159874608,1.1250717154331613,1.323869263783427
Exhaustion,2026-03-23,"EMA, median (H066)",-1.967393616884033,130,0.918025930572982,0.9364495798319328,1.2636625983846632
Exhaustion,2026-03-30,"SMA, fixed 0.85",7.326860478168151,129,0.9437086092715232,0.879284649776453,0.85
Exhaustion,2026-03-30,"SMA, median",-32.98292744123806,129,0.7782131661442007,1.1612162937464143,1.312111801242236
Exhaustion,2026-03-30,"EMA, median (H066)",-13.533008851648788,132,0.9040362438220758,1.0455275843599356,1.259926576056975
Exhaustion,2026-04-06,"SMA, fixed 0.85",-31.542867370681936,130,0.9437086092715232,1.3785394932935917,0.85
Exhaustion,2026-04-06,"SMA, median",-42.499976744835024,130,0.7782131661442007,1.3534136546184738,1.3057078727788904
Exhaustion,2026-04-06,"EMA, median (H066)",-29.95940387639886,133,0.8840112766814338,1.2621412803532008,1.2573750175054315
Exhaustion,2026-04-13,"SMA, fixed 0.85",-31.542867370681936,130,0.9437086092715232,1.3785394932935917,0.85
Exhaustion,2026-04-13,"SMA, median",-42.499976744835024,130,0.7782131661442007,1.3534136546184738,1.3057078727788904
Exhaustion,2026-04-13,"EMA, median (H066)",-29.95940387639886,133,0.8840112766814338,1.2621412803532008,1.2573750175054315
Exhaustion,2026-04-20,"SMA, fixed 0.85",-12.464650080544114,131,0.9437086092715232,1.078088578088578,0.85
Exhaustion,2026-04-20,"SMA, median",-33.376250186595016,131,0.7974137931034483,1.1968911917098446,1.2993039443155452
Exhaustion,2026-04-20,"EMA, median (H066)",-22.731152510442236,134,0.8840112766814338,1.144072036018009,1.2542887432039191
