date,side,ordinal,is_2nd,entry_min,prior_swing_L,prior_run_open_L,ext_lvl,mfe_L,reach_L3,reach_L4,reach_L5
2024-12-04,long,1,0,779,0.574,0.148,>=L2,0.191,1,0,0
2024-12-06,short,1,0,600,0.509,0.369,>=L2,0.359,1,0,0
2024-12-10,long,1,0,559,0.606,0.421,>=L2,0.0,0,0,0
2024-12-11,short,1,0,736,0.565,0.095,>=L2,0.352,1,0,0
2024-12-12,long,1,0,545,0.579,0.575,>=L2,0.315,1,0,0
2024-12-12,short,1,0,657,0.575,0.004,>=L2,0.05,0,0,0
2024-12-13,short,1,0,617,0.528,0.422,>=L2,0.043,0,0,0
2024-12-16,short,1,0,588,0.538,0.339,>=L2,0.865,1,1,1
2024-12-17,long,1,0,592,0.508,0.419,>=L2,0.016,0,0,0
2024-12-17,short,1,0,666,0.582,0.155,>=L2,0.206,1,0,0
2024-12-18,long,1,0,607,0.529,0.39,>=L2,0.68,1,1,0
2024-12-19,long,1,0,556,0.653,0.539,>=L2,0.227,1,0,0
2024-12-19,short,1,0,581,0.543,0.113,>=L2,0.27,0,0,0
2024-12-19,long,2,1,794,0.711,0.598,>=L3,0.078,0,0,0
2024-12-20,short,1,0,679,0.509,0.405,>=L2,0.333,1,0,0
2024-12-20,long,1,0,792,0.581,0.104,>=L2,0.032,0,0,0
2024-12-23,long,1,0,562,0.567,0.547,>=L2,1.123,1,1,1
2024-12-24,short,1,0,546,0.558,0.444,>=L2,0.577,1,1,0
2024-12-30,long,1,0,596,0.627,0.535,>=L2,0.004,0,0,0
2024-12-30,short,1,0,800,0.526,0.092,>=L2,0.228,1,0,0
2024-12-31,long,1,0,623,0.517,0.323,>=L2,0.247,0,0,0
2025-01-02,short,1,0,583,0.629,0.352,>=L2,0.939,1,1,1
2025-01-02,long,1,0,805,0.527,0.278,>=L2,0.37,1,0,0
2025-01-03,long,1,0,545,0.685,0.636,>=L2,0.214,1,0,0
2025-01-03,short,1,0,570,0.507,0.049,>=L2,0.276,1,0,0
2025-01-03,long,2,1,646,0.685,0.636,>=L2,0.409,1,0,0
2025-01-03,short,2,1,767,0.77,0.133,>=L3,0.129,0,0,0
2025-01-06,long,1,0,567,0.62,0.602,>=L2,1.248,1,1,1
2025-01-07,short,1,0,548,0.551,0.446,>=L2,0.63,1,1,0
2025-01-08,short,1,0,670,0.648,0.235,>=L2,0.206,1,0,0
2025-01-09,long,1,0,546,0.593,0.564,>=L2,0.104,0,0,0
2025-01-09,short,1,0,585,0.506,0.029,>=L2,1.137,1,1,1
2025-01-10,long,1,0,566,0.505,0.234,>=L2,0.0,0,0,0
2025-01-10,short,1,0,609,0.67,0.436,>=L2,0.153,1,0,0
2025-01-10,long,2,1,795,0.666,0.234,>=L2,0.105,0,0,0
2025-01-14,long,1,0,584,0.57,0.336,>=L2,0.34,1,0,0
2025-01-15,short,1,0,567,0.522,0.496,>=L2,0.696,1,1,0
2025-01-16,short,1,0,805,0.686,0.285,>=L2,0.212,1,0,0
2025-01-17,long,1,0,620,0.523,0.152,>=L2,0.471,1,0,0
2025-01-20,long,1,0,566,0.507,0.41,>=L2,0.241,0,0,0
2025-01-21,long,1,0,646,0.525,0.022,>=L2,0.359,1,0,0
2025-01-22,long,1,0,624,0.548,0.447,>=L2,0.026,0,0,0
2025-02-03,short,1,0,541,0.624,0.553,>=L2,0.11,0,0,0
2025-02-03,long,1,0,809,1.091,0.537,>=L3,0.02,0,0,0
2025-02-04,short,1,0,575,0.513,0.412,>=L2,0.474,1,0,0
2025-02-05,short,1,0,811,0.498,0.055,>=L2,0.251,0,0,0
2025-02-06,short,1,0,662,0.564,0.468,>=L2,0.048,0,0,0
2025-02-07,long,1,0,609,0.505,0.476,>=L2,0.414,1,0,0
2025-02-10,short,1,0,609,0.52,0.342,>=L2,0.372,1,0,0
2025-02-11,long,1,0,559,0.502,0.481,>=L2,0.017,0,0,0
2025-02-11,short,1,0,617,0.511,0.03,>=L2,0.326,1,0,0
2025-02-12,long,1,0,563,0.505,0.465,>=L2,0.048,0,0,0
2025-02-12,short,1,0,635,0.587,0.122,>=L2,0.574,1,1,0
2025-02-13,long,1,0,608,0.502,0.108,>=L2,0.342,1,0,0
2025-02-14,short,1,0,547,0.641,0.593,>=L2,0.497,1,1,0
2025-02-17,long,1,0,567,0.601,0.588,>=L2,0.475,1,1,0
2025-02-18,short,1,0,555,0.504,0.448,>=L2,0.034,0,0,0
2025-02-18,long,1,0,762,0.525,0.078,>=L2,0.409,1,0,0
2025-02-19,long,1,0,586,0.555,0.494,>=L2,0.0,0,0,0
2025-02-19,short,1,0,629,0.529,0.061,>=L2,0.039,0,0,0
2025-02-20,short,1,0,553,0.68,0.411,>=L2,0.269,1,0,0
2025-02-20,long,1,0,650,0.543,0.269,>=L2,0.456,1,0,0
2025-02-24,long,1,0,727,0.524,0.054,>=L2,0.09,0,0,0
2025-02-25,short,1,0,564,0.59,0.361,>=L2,0.136,0,0,0
2025-02-25,long,1,0,597,0.501,0.229,>=L2,0.511,1,0,0
2025-02-26,long,1,0,574,0.695,0.479,>=L2,0.925,1,1,1
2025-03-03,short,1,0,564,0.602,0.117,>=L2,0.303,1,0,0
2025-03-03,long,1,0,620,0.754,0.637,>=L3,0.26,0,0,0
2025-03-03,short,2,1,689,0.806,0.169,>=L3,0.026,0,0,0
2025-03-03,long,2,1,737,0.754,0.637,>=L3,0.121,0,0,0
2025-03-04,short,1,0,825,0.543,0.212,>=L2,0.0,0,0,0
2025-03-06,short,1,0,543,0.516,0.414,>=L2,0.65,1,1,1
2025-03-07,long,1,0,545,0.501,0.435,>=L2,0.304,1,0,0
2025-03-07,short,1,0,603,0.597,0.065,>=L2,0.231,1,0,0
2025-03-10,long,1,0,608,0.499,0.358,>=L2,0.417,1,0,0
2025-03-11,short,1,0,541,0.642,0.329,>=L2,0.678,1,1,0
2025-03-11,long,1,0,569,0.622,0.313,>=L2,1.261,1,1,1
2025-03-12,long,1,0,594,0.644,0.432,>=L2,0.499,1,1,0
2025-03-12,short,1,0,733,0.57,0.212,>=L2,0.376,1,0,0
2025-03-13,short,1,0,577,0.589,0.479,>=L2,1.528,1,1,1
2025-03-14,long,1,0,563,0.545,0.037,>=L2,0.04,0,0,0
2025-03-14,short,1,0,619,0.86,0.823,>=L3,0.043,0,0,0
2025-03-14,long,2,1,703,0.555,0.037,>=L2,0.003,0,0,0
2025-03-17,long,1,0,592,0.593,0.495,>=L2,0.02,0,0,0
2025-03-17,short,1,0,618,0.532,0.098,>=L2,0.254,0,0,0
2025-03-18,short,1,0,601,0.566,0.524,>=L2,0.154,0,0,0
2025-03-19,short,1,0,620,0.501,0.436,>=L2,0.559,1,1,0
2025-03-20,long,1,0,568,0.543,0.421,>=L2,0.482,1,0,0
2025-03-21,short,1,0,588,0.5,0.301,>=L2,0.327,1,0,0
2025-03-24,short,1,0,572,0.554,0.188,>=L2,0.531,1,1,0
2025-03-25,short,1,0,606,0.578,0.154,>=L2,0.33,1,0,0
2025-03-26,short,1,0,614,0.53,0.455,>=L2,0.174,0,0,0
2025-03-27,short,1,0,556,0.524,0.442,>=L2,0.277,0,0,0
2025-03-28,short,1,0,560,0.498,0.316,>=L2,1.013,1,1,1
2025-03-31,long,1,0,533,0.506,0.506,>=L2,0.467,1,0,0
2025-03-31,short,1,0,551,0.502,0.0,>=L2,0.902,1,1,1
2025-03-31,short,2,1,583,0.585,0.0,>=L2,0.811,1,1,1
2025-03-31,long,2,1,689,0.827,0.827,>=L3,0.107,0,0,0
2025-04-01,long,1,0,555,0.501,0.073,>=L2,1.091,1,1,1
2025-04-02,short,1,0,620,0.63,0.312,>=L2,0.088,0,0,0
2025-04-08,short,1,0,530,0.567,0.386,>=L2,2.238,1,1,1
2025-04-08,long,1,0,543,0.638,0.181,>=L2,1.087,1,1,1
2025-04-08,short,2,1,615,1.499,1.113,>=L3,1.86,1,1,1
2025-04-08,short,3,1,716,3.149,2.485,>=L3,0.05,0,0,0
2025-04-08,long,2,1,744,1.776,0.663,>=L3,1.113,1,1,1
2025-04-08,short,4,1,757,3.149,2.485,>=L3,0.017,0,0,0
2025-04-08,short,5,1,798,3.149,2.485,>=L3,0.29,1,0,0
2025-04-09,long,1,0,606,1.544,1.534,>=L3,0.342,0,0,0
2025-04-09,short,1,0,634,1.251,0.01,>=L3,3.074,1,1,1
2025-04-09,long,2,1,690,1.544,1.534,>=L3,0.234,1,0,0
2025-04-09,short,2,1,704,2.98,1.446,>=L3,1.23,1,1,1
2025-04-09,short,3,1,774,3.938,2.405,>=L3,0.85,1,1,1
2025-04-09,long,3,1,799,1.544,1.534,>=L3,0.22,1,0,0
2025-04-09,short,4,1,813,3.998,2.464,>=L3,0.338,1,0,0
2025-04-11,long,1,0,534,0.512,0.494,>=L2,2.79,1,1,1
2025-04-11,short,1,0,612,0.851,0.357,>=L3,0.033,0,0,0
2025-04-11,short,2,1,668,0.851,0.357,>=L3,0.102,0,0,0
2025-04-11,long,2,1,686,2.628,2.271,>=L3,0.821,1,1,1
2025-04-14,long,1,0,670,0.731,0.445,>=L3,0.081,0,0,0
2025-04-14,short,1,0,733,1.019,0.574,>=L3,0.286,1,0,0
2025-04-15,long,1,0,622,0.589,0.428,>=L2,0.269,1,0,0
2025-04-16,short,1,0,631,0.511,0.309,>=L2,0.302,1,0,0
2025-04-17,short,1,0,595,0.535,0.291,>=L2,0.067,0,0,0
2025-04-17,long,1,0,648,0.535,0.244,>=L2,0.326,1,0,0
2025-04-22,long,1,0,572,0.503,0.224,>=L2,0.107,0,0,0
2025-04-22,short,1,0,659,0.514,0.279,>=L2,0.233,1,0,0
2025-04-23,long,1,0,557,0.706,0.484,>=L2,0.574,1,1,0
2025-04-24,short,1,0,664,0.657,0.53,>=L2,0.155,1,0,0
2025-04-30,long,1,0,622,0.608,0.523,>=L2,0.127,0,0,0
2025-04-30,short,1,0,678,0.572,0.084,>=L2,0.075,0,0,0
2025-05-02,long,1,0,648,0.598,0.534,>=L2,0.262,1,0,0
2025-05-05,long,1,0,685,0.674,0.133,>=L2,0.366,1,0,0
2025-05-06,long,1,0,559,0.533,0.533,>=L2,0.583,1,1,0
2025-05-07,short,1,0,563,0.537,0.165,>=L2,0.419,1,0,0
2025-05-08,long,1,0,561,0.629,0.557,>=L2,0.26,1,0,0
2025-05-08,short,1,0,825,0.517,0.072,>=L2,0.0,0,0,0
2025-05-09,long,1,0,655,0.538,0.369,>=L2,0.449,1,0,0
2025-05-12,long,1,0,610,0.505,0.386,>=L2,0.049,0,0,0
2025-05-13,short,1,0,630,0.622,0.286,>=L2,0.204,1,0,0
2025-05-14,short,1,0,671,0.524,0.34,>=L2,0.017,0,0,0
2025-05-14,long,1,0,732,0.507,0.184,>=L2,0.295,1,0,0
2025-05-16,long,1,0,590,0.675,0.315,>=L2,0.255,1,0,0
2025-05-19,short,1,0,604,0.511,0.258,>=L2,0.504,1,0,0
