trade_date,tse23_close,tse28_close
2012-03-06,298.08,829.42
2012-03-08,299.65,840.33
2012-03-09,302.12,838.17
2012-03-12,298.8,830.06
2012-03-13,301.54,858.3
2012-03-14,305.85,857.64
2012-03-15,305.75,862.05
2012-03-16,303.47,855.34
2012-03-19,304.09,858.37
2012-03-20,301.36,848.49
2012-03-22,305.66,856.08
2012-03-23,306.28,860.41
2012-03-26,303.14,841.68
2012-03-27,305.67,845.78
2012-03-28,307.24,840.78
2012-03-29,300.66,818.14
2012-03-30,302.97,823.69
2012-04-02,300.17,816.1
2012-04-03,295.22,809.43
2012-04-05,292.1,790.25
2012-04-06,295.92,794.56
2012-04-09,291.61,784.85
2012-04-10,292.01,791.07
2012-04-11,293.99,787.26
2012-04-12,294.85,790.89
2012-04-13,300.46,800.07
2012-04-16,298.83,791.28
2012-04-17,291.82,781.77
2012-04-18,292.41,782.17
2012-04-19,292.04,788.2
2012-04-20,286.66,777.9
2012-04-23,284.87,780.53
2012-04-24,286.95,777.53
2012-04-25,290.05,783.98
2012-04-26,286.86,781.8
2012-04-27,283.96,781.77
2012-04-30,284.2,787.16
2012-05-02,292.02,803.16
2012-05-03,291.73,797.86
2012-05-04,292.9,802.08
2012-05-07,286.76,784.79
2012-05-08,286.63,785.61
2012-05-09,284.32,774.13
2012-05-10,284.21,779.41
2012-05-11,282.0,766.3
2012-05-14,281.52,765.88
2012-05-15,283.16,759.51
2012-05-16,275.98,740.92
2012-05-17,281.51,756.09
2012-05-18,271.91,739.34
2012-05-21,273.64,746.06
2012-05-22,277.63,751.51
2012-05-23,271.94,735.46
2012-05-24,271.49,729.93
2012-05-25,268.76,727.55
2012-05-28,271.6,737.15
2012-05-29,279.73,759.67
2012-05-30,277.89,747.71
2012-06-01,270.68,734.73
2012-06-04,260.68,711.0
2012-06-05,265.02,727.3
2012-06-06,267.39,731.88
2012-06-07,268.79,739.22
2012-06-08,264.87,739.13
2012-06-11,270.01,753.51
2012-06-12,267.84,746.47
2012-06-13,268.7,749.68
2012-06-14,267.79,748.96
2012-06-15,269.65,759.88
2012-06-18,276.09,770.59
2012-06-19,275.47,763.72
2012-06-20,277.68,771.15
2012-06-21,275.69,759.42
2012-06-22,274.46,752.27
2012-06-25,272.86,746.43
2012-06-26,270.82,746.22
2012-06-27,272.61,753.4
2012-06-28,272.41,749.38
2012-06-29,276.97,765.62
2012-07-02,279.13,776.94
2012-07-03,282.14,780.69
2012-07-04,281.57,786.36
2012-07-05,279.76,783.16
2012-07-06,278.12,782.09
2012-07-09,275.16,777.55
2012-07-10,271.62,774.51
2012-07-11,271.57,783.57
2012-07-12,266.08,775.05
