rule,split,recall_A,FPR_bull,hit_B,hit_C,hit_D,n_A,n_bull,youden_J,median_lag_days
A>=20d OR B=streak>=1,IS,0.627906976744186,0.32567049808429116,0.6599597585513078,0.2972972972972973,0.0,1505,261,0.3022364786598949,27.0
A>=20d AND B=streak>=2,IS,0.17674418604651163,0.0,0.32595573440643866,0.06142506142506143,0.0,1505,261,0.17674418604651163,129.0
A>=20d OR B=streak>=2,IS,0.587375415282392,0.24904214559386972,0.6217303822937625,0.14987714987714987,0.0,1505,261,0.3383332696885223,49.0
A>=20d AND B=streak>=3,IS,0.16146179401993355,0.0,0.32595573440643866,0.009828009828009828,0.0,1505,261,0.16146179401993355,129.0
A>=20d OR B=streak>=3,IS,0.5601328903654486,0.1685823754789272,0.5774647887323944,0.10319410319410319,0.0,1505,261,0.3915505148865214,69.0
A>=20d AND B=streak>=4,IS,0.14750830564784054,0.0,0.32595573440643866,0.0,0.0,1505,261,0.14750830564784054,129.0
A>=20d OR B=streak>=4,IS,0.5308970099667774,0.08045977011494253,0.5352112676056338,0.10319410319410319,0.0,1505,261,0.4504372398518348,92.0
A>=20d AND B=streak>=6,IS,0.12225913621262459,0.0,0.24748490945674045,0.0,0.0,1505,261,0.12225913621262459,133.0
A>=20d OR B=streak>=6,IS,0.4750830564784053,0.0,0.5251509054325956,0.10319410319410319,0.0,1505,261,0.4750830564784053,129.0
A>=20d AND B=score<=16,IS,0.14219269102990034,0.0,0.3199195171026157,0.0,0.0,1505,261,0.14219269102990034,129.0
A>=20d OR B=score<=16,IS,0.3315614617940199,0.0,0.4567404426559356,0.10319410319410319,0.0,1505,261,0.3315614617940199,69.0
A>=20d AND B=score<=22,IS,0.19003322259136213,0.0,0.32595573440643866,0.10319410319410319,0.0,1505,261,0.19003322259136213,129.0
A>=20d OR B=score<=22,IS,0.627906976744186,0.32567049808429116,0.6599597585513078,0.2972972972972973,0.0,1505,261,0.3022364786598949,27.0
A>=60d AND B=streak>=1,IS,0.11694352159468438,0.0,0.22535211267605634,0.004914004914004914,0.0,1505,261,0.11694352159468438,169.0
A>=60d OR B=streak>=1,IS,0.6159468438538206,0.32567049808429116,0.6599597585513078,0.2972972972972973,0.0,1505,261,0.29027634576952943,27.0
A>=60d AND B=streak>=2,IS,0.11694352159468438,0.0,0.22535211267605634,0.004914004914004914,0.0,1505,261,0.11694352159468438,169.0
A>=60d OR B=streak>=2,IS,0.5621262458471761,0.24904214559386972,0.6217303822937625,0.10810810810810811,0.0,1505,261,0.31308410025330635,49.0
